pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,9/12/2022,86.9,3.1,5.49,"Rogers, Trevor",666969,669432,field_out,hit_into_play,,,,,9,"Adolis Garcia grounds out, second baseman Charles Leblanc to first baseman Lewin Diaz.",R,R,L,MIA,TEX,X,4,ground_ball,0,2,2022,1.54,0.19,0.79,2.15,,,663993,2,1,Top,111.1,145.09,,,607732,,,-8.736030169,-126.1795674,-2.116528634,18.31166772,28.38714989,-29.90846595,3.38,1.67,9,92.8,-14,86.8,1448,6.6,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,53.93,0.163,0.15,0,1,0,0,2,4,3,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,111,0.022,-0.135
SI,9/12/2022,91,-1.69,6.03,"Otto, Glenn",542932,657248,,foul,,,,,5,Jon Berti lines out to center fielder Bubba Thompson.,R,R,R,MIA,TEX,S,,,0,0,2022,-0.93,0.84,-0.07,2.54,,,,0,1,Bot,,,,,669087,,,6.112820297,-132.4131278,-4.689519003,-12.31741124,29.13700627,-21.49856391,3.2,1.49,144,76.3,64,91.7,2054,6.8,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.7,,,,,,,,5,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,198,0,-0.034
SI,9/12/2022,92.8,-1.66,5.96,"Otto, Glenn",542932,657248,,called_strike,,,,,6,Jon Berti lines out to center fielder Bubba Thompson.,R,R,R,MIA,TEX,S,,,0,1,2022,-1.11,0.74,0.57,2.39,,,,0,1,Bot,,,,,669087,,,8.23326341,-134.8421616,-4.972730192,-15.34341328,30.68729142,-22.17876548,3.26,1.49,,,,93.6,2051,6.9,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.56,,,,,,,,5,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,209,0,-0.046
SL,9/12/2022,80.3,-1.9,5.97,"Otto, Glenn",542932,657248,field_out,hit_into_play,,,,,3,Jon Berti lines out to center fielder Bubba Thompson.,R,R,R,MIA,TEX,X,8,line_drive,0,2,2022,1.58,-0.22,0.37,2.72,,,,0,1,Bot,143.07,59.09,,,669087,,,2.057148211,-116.9428747,-0.053576733,14.01454213,23.61661905,-34.38305419,3.2,1.49,349,94.2,22,80.9,2530,6.8,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.68,0.194,0.228,0,1,0,0,3,5,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,52,-0.021,-0.141
SI,9/12/2022,92.2,-1.69,6.08,"Otto, Glenn",605119,657248,,ball,,,,,13,Brian Anderson lines out to left fielder Josh H.   Smith.,R,R,R,MIA,TEX,B,,,0,0,2022,-1.17,0.71,-1.44,2.47,,,,1,1,Bot,,,,,669087,,,3.202557217,-134.1318621,-4.871064464,-14.77886108,31.58964087,-22.69024069,3.39,1.63,,,,92.6,2088,6.7,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.78,,,,,,,,6,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,203,0,0.023
SI,9/12/2022,93.9,-1.67,6.03,"Otto, Glenn",605119,657248,,foul,,,,,13,Brian Anderson lines out to left fielder Josh H.   Smith.,R,R,R,MIA,TEX,S,,,1,0,2022,-1.47,0.67,-0.91,2.26,,,,1,1,Bot,,,,,669087,,,5.291210534,-136.5341811,-5.506712302,-19.58452926,32.92157171,-22.76601395,3.45,1.63,,,,94.2,2119,6.7,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.76,,,,,,,,6,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216,0,-0.031
SL,9/12/2022,79.7,-1.74,6,"Otto, Glenn",605119,657248,field_out,hit_into_play,,,,,4,Brian Anderson lines out to left fielder Josh H.   Smith.,R,R,R,MIA,TEX,X,7,line_drive,1,1,2022,1.38,-0.44,-0.28,2.69,,,,1,1,Bot,66.56,99.02,,,669087,,,0.609912792,-116.0388448,0.336226141,12.26838549,23.02297846,-36.44646858,3.45,1.63,288,100,18,80.2,2546,6.7,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.77,0.411,0.489,0,1,0,0,4,6,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,51,-0.016,-0.148
KC,9/12/2022,79.9,-1.57,6.03,"Otto, Glenn",643265,657248,,called_strike,,,,,5,Garrett Cooper strikes out swinging.,R,R,R,MIA,TEX,S,,,0,0,2022,0.72,-1.01,-0.03,2.59,,,,2,1,Bot,,,,,669087,,,2.037951376,-116.3854595,1.069860193,6.170854932,22.30054241,-41.73435407,3.42,1.73,,,,80.5,2364,6.7,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.78,,,,,,,,7,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,34,0,-0.017
SL,9/12/2022,81.2,-1.93,5.99,"Otto, Glenn",643265,657248,,swinging_strike,,,,,14,Garrett Cooper strikes out swinging.,R,R,R,MIA,TEX,S,,,0,1,2022,1.25,-0.27,0.38,0.68,,,,2,1,Bot,,,,,669087,,,2.784931216,-118.0986578,-4.727624823,11.05775379,24.4198958,-33.9327249,3.48,1.73,,,,81.7,2613,6.8,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.66,,,,,,,,7,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,52,0,-0.023
SL,9/12/2022,82.6,-1.75,6.04,"Otto, Glenn",643265,657248,strikeout,swinging_strike,,,,,9,Garrett Cooper strikes out swinging.,R,R,R,MIA,TEX,S,2,,0,2,2022,1.77,-0.27,0.54,2.1,,,,2,1,Bot,,,,,669087,,,1.787144183,-120.2946566,-1.923664515,16.67023069,25.15130289,-34.57291651,3.48,1.73,,,,82.9,2621,6.6,661420,657248,669087,663993,543760,673962,608369,669701,669352,666969,53.87,,,0,1,0,0,,7,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,47,-0.01,-0.059
