pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,6/21/2022,97.9,-1.26,6.43,"Cease, Dylan",665489,656302,,called_strike,,,,,6,Vladimir Guerrero Jr.  strikes out swinging.,R,R,R,CWS,TOR,S,,,0,0,2022,-0.02,1.63,0.55,2.91,,,,2,1,Top,,,,,664874,,,4.89754163,-142.3060263,-7.740628853,-1.350630145,31.98834059,-8.419477347,3.78,1.66,,,,97.5,2581,6.1,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.4,,,,,,,,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,190,0,-0.017
FF,6/21/2022,97.6,-1.29,6.47,"Cease, Dylan",665489,656302,,ball,,,,,12,Vladimir Guerrero Jr.  strikes out swinging.,R,R,R,CWS,TOR,B,,,0,1,2022,-0.02,1.43,0.53,4.07,,,,2,1,Top,,,,,664874,,,4.875428952,-142.0804692,-4.2151501,-1.34450533,32.5547577,-12.0272549,3.76,1.75,,,,96.9,2361,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.64,,,,,,,,3,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,194,0,0.011
SL,6/21/2022,89.8,-1.69,6.19,"Cease, Dylan",665489,656302,,swinging_strike,,,,,14,Vladimir Guerrero Jr.  strikes out swinging.,R,R,R,CWS,TOR,S,,,1,1,2022,0.52,-0.03,0.82,0.75,,,,2,1,Top,,,,,664874,,,5.048407751,-130.5815558,-7.365970238,4.951993754,26.65265069,-31.18868437,3.63,1.69,,,,89.2,2995,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.64,,,,,,,,3,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,86,0,-0.023
SL,6/21/2022,87.6,-1.75,6.14,"Cease, Dylan",665489,656302,strikeout,swinging_strike_blocked,,,,,14,Vladimir Guerrero Jr.  strikes out swinging.,R,R,R,CWS,TOR,S,2,,1,2,2022,0.48,-0.04,1.04,0.62,,,,2,1,Top,,,,,664874,,,5.706802283,-127.5528827,-7.162208738,4.334904758,22.34276467,-31.56863399,3.63,1.69,,,,87.4,2943,5.8,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.68,,,0,1,0,0,,3,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,150,0.01,-0.07
FF,6/21/2022,95.1,-2.21,6.06,"Gausman, Kevin",641313,592332,,foul,,,,,6,Tim Anderson grounds out to first baseman Vladimir Guerrero Jr.,R,R,R,CWS,TOR,S,,,0,0,2022,-0.47,1.41,0.45,2.55,,,,0,1,Bot,,,,,672386,,,8.040421033,-138.1076969,-6.671893047,-7.826013262,31.40386434,-12.85041366,3.41,1.53,266,83.2,41,95,2387,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.12,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,218,0,-0.034
FF,6/21/2022,95.5,-2.36,6.11,"Gausman, Kevin",641313,592332,field_out,hit_into_play,,,,,7,Tim Anderson grounds out to first baseman Vladimir Guerrero Jr.,R,R,R,CWS,TOR,X,3,ground_ball,0,1,2022,-0.51,1.45,-0.6,2.03,,,,0,1,Bot,153.41,151.6,,,672386,,,5.781854427,-138.8530831,-8.414275389,-7.85539901,28.12863214,-11.7588602,3.41,1.53,93,86.1,5,95.8,2284,6.3,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.22,0.426,0.432,0,1,0,0,4,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,211,-0.021,-0.187
FF,6/21/2022,96.4,-2.17,6.01,"Gausman, Kevin",683734,592332,,called_strike,,,,,9,Andrew Vaughn strikes out swinging.,R,R,R,CWS,TOR,S,,,0,0,2022,-0.65,1.29,0.51,2.08,,,,1,1,Bot,,,,,672386,,,8.588657079,-139.9470906,-7.790641094,-10.41890571,31.51206269,-13.62290214,3.38,1.79,,,,96.3,2266,6.3,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.15,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,216,0,-0.024
FS,6/21/2022,87.3,-2.5,5.83,"Gausman, Kevin",683734,592332,,foul,,,,,4,Andrew Vaughn strikes out swinging.,R,R,R,CWS,TOR,S,,,0,1,2022,-1.14,0.51,-0.56,2.17,,,,1,1,Bot,,,,,672386,,,7.02721086,-126.9685496,-3.675630939,-13.80164743,26.31865195,-26.13945639,3.32,1.57,3,100.9,-33,87.3,1549,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.14,,,,,,,,5,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Strategic,239,0,-0.031
FS,6/21/2022,87.6,-2.35,5.95,"Gausman, Kevin",683734,592332,strikeout,swinging_strike,,,,,13,Andrew Vaughn strikes out swinging.,R,R,R,CWS,TOR,S,2,,0,2,2022,-1.01,0.28,-0.04,0.76,,,,1,1,Bot,,,,,672386,,,7.661478322,-127.1937807,-6.95635501,-12.48978958,25.82912325,-27.91267461,3.32,1.57,,,,87.6,1537,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.14,,,0,1,0,0,,5,3,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Strategic,241,-0.016,-0.1
SL,6/21/2022,86.6,-2.39,5.84,"Gausman, Kevin",673357,592332,,ball,,,,,14,Luis Robert strikes out swinging.,R,R,R,CWS,TOR,B,,,0,0,2022,0.15,0.26,1.48,0.4,,,,2,1,Bot,,,,,672386,,,8.925131872,-125.6261781,-7.219043574,-0.387300459,27.76180114,-27.99142829,3.63,1.76,,,,86.1,2355,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.12,,,,,,,,6,1,Slider,0,0,0,0,0,0,0,0,Standard,Strategic,203,0,0.015
FS,6/21/2022,86.7,-2.42,5.88,"Gausman, Kevin",673357,592332,,swinging_strike,,,,,14,Luis Robert strikes out swinging.,R,R,R,CWS,TOR,S,,,1,0,2022,-1.05,0.34,0.53,1.08,,,,2,1,Bot,,,,,672386,,,9.159090046,-125.8854185,-5.95425125,-13.02197516,24.61718469,-27.52593863,3.74,1.81,,,,86.6,1556,6.3,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.23,,,,,,,,6,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Strategic,234,0,-0.021
FS,6/21/2022,86.7,-2.49,5.82,"Gausman, Kevin",673357,592332,,swinging_strike,,,,,13,Luis Robert strikes out swinging.,R,R,R,CWS,TOR,S,,,1,1,2022,-0.95,0.25,-0.31,1.44,,,,2,1,Bot,,,,,672386,,,7.145323633,-126.0199573,-4.810513959,-11.54991611,24.1859782,-28.76435035,3.74,1.81,,,,87,1639,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.11,,,,,,,,6,3,Split-Finger,0,0,0,0,0,0,0,0,Standard,Strategic,232,0,-0.023
FS,6/21/2022,87.6,-2.38,5.85,"Gausman, Kevin",673357,592332,strikeout,swinging_strike_blocked,,,,,13,Luis Robert strikes out swinging.,R,R,R,CWS,TOR,S,2,,1,2,2022,-1.17,0.23,-0.79,1.12,,,,2,1,Bot,,,,,672386,,,6.265795049,-127.4305026,-5.767922482,-13.99876328,26.24799297,-28.68987376,3.74,1.81,,,,87.8,1621,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.05,,,0,1,0,0,,6,4,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Strategic,237,-0.01,-0.07
FF,6/21/2022,95.4,-1.22,6.37,"Cease, Dylan",672386,656302,,called_strike,,,,,12,Alejandro Kirk strikes out swinging.,R,R,R,CWS,TOR,S,,,0,0,2022,-0.28,1.56,0.97,3,,,,0,2,Top,,,,,664874,,,6.353006,-138.7468323,-6.718602379,-5.02784635,29.70491059,-10.65778717,3.3,1.54,,,,95.1,2515,6,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.46,,,,,,,,7,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,198,0,-0.034
KC,6/21/2022,81.3,-1.29,6.3,"Cease, Dylan",672386,656302,,ball,,,,,14,Alejandro Kirk strikes out swinging.,R,R,R,CWS,TOR,B,,,0,1,2022,0.59,-1.51,0.35,0.63,,,,0,2,Top,,,,,664874,,,2.513868212,-118.3073444,-3.09474071,4.926827397,25.59405081,-45.7872293,3.26,1.55,,,,80.3,2759,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.61,,,,,,,,7,2,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,17,0,0.025
SL,6/21/2022,87.4,-1.64,6.21,"Cease, Dylan",672386,656302,,swinging_strike,,,,,14,Alejandro Kirk strikes out swinging.,R,R,R,CWS,TOR,S,,,1,1,2022,0.51,0.23,0.92,1.38,,,,0,2,Top,,,,,664874,,,5.087003106,-127.3468293,-6.060653615,4.781842369,21.3233435,-28.74986989,3.13,1.47,,,,87.4,2910,5.8,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.67,,,,,,,,7,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,71,0,-0.054
SL,6/21/2022,87.7,-1.56,6.24,"Cease, Dylan",672386,656302,strikeout,swinging_strike_blocked,,,,,14,Alejandro Kirk strikes out swinging.,R,R,R,CWS,TOR,S,2,,1,2,2022,0.54,0.05,1.18,0.58,,,,0,2,Top,,,,,664874,,,5.485637614,-127.6984632,-7.725192996,5.0616192,21.53699099,-30.50618334,3.13,1.47,,,,87.8,2911,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.59,,,0,1,0,0,,7,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,80,0.023,-0.158
SL,6/21/2022,87.1,-1.44,6.39,"Cease, Dylan",606192,656302,,called_strike,,,,,3,Teoscar Hernandez strikes out swinging.,R,R,R,CWS,TOR,S,,,0,0,2022,0.45,-0.15,0.63,2.96,,,,1,2,Top,,,,,664874,,,4.006974289,-126.8542161,-1.794063187,4.136721774,24.73868953,-33.62654052,3.52,1.61,,,,86.7,2842,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.59,,,,,,,,8,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,66,0,-0.024
FF,6/21/2022,97.7,-1.15,6.48,"Cease, Dylan",606192,656302,,ball,,,,,12,Teoscar Hernandez strikes out swinging.,R,R,R,CWS,TOR,B,,,0,1,2022,0.03,1.61,0.41,3.93,,,,1,2,Top,,,,,664874,,,4.118177634,-142.2738542,-5.076769774,-0.577109057,31.7368428,-9.316746256,3.59,1.68,,,,97.3,2433,6,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.53,,,,,,,,8,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,192,0,0.016
FF,6/21/2022,98.3,-1.12,6.36,"Cease, Dylan",606192,656302,,called_strike,,,,,9,Teoscar Hernandez strikes out swinging.,R,R,R,CWS,TOR,S,,,1,1,2022,-0.25,1.51,0.73,1.54,,,,1,2,Top,,,,,664874,,,5.562036559,-142.8796301,-11.11883511,-4.506103412,28.3805478,-9.203124009,3.52,1.61,,,,98.5,2431,6.2,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.32,,,,,,,,8,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,197,0,-0.036
SL,6/21/2022,88.1,-1.62,6.25,"Cease, Dylan",606192,656302,strikeout,swinging_strike,,,,,14,Teoscar Hernandez strikes out swinging.,R,R,R,CWS,TOR,S,2,,1,2,2022,0.43,-0.01,0.58,1.4,,,,1,2,Top,,,,,664874,,,4.408322376,-128.3810059,-5.76998422,4.136898611,21.06206312,-31.46977293,3.39,1.57,,,,88.2,2990,5.8,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.7,,,0,1,0,0,,8,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,103,0.017,-0.112
FF,6/21/2022,98.2,-1.17,6.37,"Cease, Dylan",669289,656302,,called_strike,,,,,14,Santiago Espinal pops out to third baseman Danny Mendick in foul territory.,R,R,R,CWS,TOR,S,,,0,0,2022,0.03,1.71,1.05,1.7,,,,2,2,Top,,,,,664874,,,5.905254936,-142.5573479,-11.05984944,-0.958833709,32.36444243,-6.426507847,3.5,1.69,,,,97.8,2522,6.1,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.36,,,,,,,,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,191,0,-0.017
FF,6/21/2022,98.2,-1.13,6.43,"Cease, Dylan",669289,656302,,ball,,,,,12,Santiago Espinal pops out to third baseman Danny Mendick in foul territory.,R,R,R,CWS,TOR,B,,,0,1,2022,-0.2,1.57,2.03,2.73,,,,2,2,Top,,,,,664874,,,8.937565749,-142.6667328,-8.150583422,-4.63711813,29.9467432,-8.975421038,3.52,1.65,,,,97.8,2590,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.57,,,,,,,,9,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,197,0,0.011
SL,6/21/2022,89.1,-1.63,6.22,"Cease, Dylan",669289,656302,,ball,,,,,14,Santiago Espinal pops out to third baseman Danny Mendick in foul territory.,R,R,R,CWS,TOR,B,,,1,1,2022,0.22,0.23,0.8,0.58,,,,2,2,Top,,,,,664874,,,5.452493144,-129.6397703,-8.316549083,1.557630703,22.79253079,-28.23536146,3.57,1.69,,,,88.8,2986,5.8,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.75,,,,,,,,9,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,199,0,0.021
SL,6/21/2022,88.6,-1.55,6.31,"Cease, Dylan",669289,656302,field_out,hit_into_play,,,,,5,Santiago Espinal pops out to third baseman Danny Mendick in foul territory.,R,R,R,CWS,TOR,X,5,popup,2,1,2022,0.56,-0.06,0.1,2.3,,,,2,2,Top,65.61,155.9,,,664874,,,2.829628975,-129.045878,-3.638910801,5.738077459,25.52046903,-32.27469515,3.46,1.61,184,82,63,88.2,2923,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.6,0.011,0.01,0,1,0,0,3,9,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,91,0.01,-0.114
FF,6/21/2022,94.2,-2.32,6.04,"Gausman, Kevin",547989,592332,,called_strike,,,,,13,Jose Abreu flies out to right fielder Teoscar Hernandez.,R,R,R,CWS,TOR,S,,,0,0,2022,-0.43,1.26,-0.94,2.54,,,,0,2,Bot,,,,,672386,,,4.530041893,-137.0443628,-6.190876738,-6.388158092,29.59317505,-15.14841212,3.63,1.77,,,,94.3,2192,6.3,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.2,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,215,0,-0.034
FF,6/21/2022,95.7,-2.28,5.99,"Gausman, Kevin",547989,592332,,called_strike,,,,,6,Jose Abreu flies out to right fielder Teoscar Hernandez.,R,R,R,CWS,TOR,S,,,0,1,2022,-0.51,1.45,0.55,2.41,,,,0,2,Bot,,,,,672386,,,8.633336652,-138.9437375,-7.086567555,-8.487370361,31.02817808,-11.97307517,3.61,1.55,,,,95.8,2284,6.5,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.03,,,,,,,,10,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,215,0,-0.046
FF,6/21/2022,96.4,-2.15,6.02,"Gausman, Kevin",547989,592332,,foul,,,,,6,Jose Abreu flies out to right fielder Teoscar Hernandez.,R,R,R,CWS,TOR,S,,,0,2,2022,-0.62,1.52,0.47,2.45,,,,0,2,Bot,,,,,672386,,,8.383975746,-140.0334376,-7.363730035,-10.06767797,31.03091497,-10.6800592,3.48,1.62,204,71.6,36,96.5,2310,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.08,,,,,,,,10,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,217,0,0
FF,6/21/2022,96.6,-2.19,6.01,"Gausman, Kevin",547989,592332,field_out,hit_into_play,,,,,4,Jose Abreu flies out to right fielder Teoscar Hernandez.,R,R,R,CWS,TOR,X,9,fly_ball,0,2,2022,-0.64,1.34,-0.29,2.79,,,,0,2,Bot,177.21,117.6,,,672386,,,6.521382396,-140.5145399,-6.104269218,-9.853192586,29.96261565,-13.18342612,3.48,1.62,241,72.3,30,97,2284,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.12,0.697,0.67,0,1,0,0,4,10,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Strategic,211,-0.023,-0.141
SL,6/21/2022,86.2,-2.44,5.85,"Gausman, Kevin",572041,592332,,foul,,,,,6,AJ Pollock doubles (12) on a sharp fly ball to center fielder Raimel Tapia.,R,R,R,CWS,TOR,S,,,0,0,2022,0.3,0.29,0.48,2.31,,,,1,2,Bot,,,,,672386,,,6.343940942,-125.3886091,-2.782133795,1.879484045,25.39473284,-28.75240346,3.56,1.69,2,66.1,-47,86.5,2231,6.5,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.01,,,,,,,,11,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,204,0,-0.024
FS,6/21/2022,86,-2.41,5.85,"Gausman, Kevin",572041,592332,,called_strike,,,,,8,AJ Pollock doubles (12) on a sharp fly ball to center fielder Raimel Tapia.,R,R,R,CWS,TOR,S,,,0,1,2022,-0.98,0.7,0.23,2.27,,,,1,2,Bot,,,,,672386,,,8.220661119,-125.0815393,-3.696134095,-11.86670674,24.13051536,-24.23840972,3.69,1.73,,,,86.2,1467,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.13,,,,,,,,11,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,235,0,-0.031
FS,6/21/2022,87.4,-2.46,5.77,"Gausman, Kevin",572041,592332,,ball,,,,,13,AJ Pollock doubles (12) on a sharp fly ball to center fielder Raimel Tapia.,R,R,R,CWS,TOR,B,,,0,2,2022,-0.95,0.73,-0.44,0.47,,,,1,2,Bot,,,,,672386,,,6.814877363,-126.9479276,-8.141039522,-11.64540558,25.39541031,-22.82156227,3.74,1.69,,,,87.5,1538,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.1,,,,,,,,11,3,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,236,0,0.011
SL,6/21/2022,87.9,-2.27,5.84,"Gausman, Kevin",572041,592332,,ball,,,,,14,AJ Pollock doubles (12) on a sharp fly ball to center fielder Raimel Tapia.,R,R,R,CWS,TOR,B,,,1,2,2022,0.05,0.29,1.88,0.77,,,,1,2,Bot,,,,,672386,,,9.929076429,-127.4917473,-6.716473699,-1.513859213,26.72839243,-27.73922529,3.69,1.71,,,,87.5,2368,6.3,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.22,,,,,,,,11,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,233,0,0.023
FF,6/21/2022,97.6,-2.15,5.95,"Gausman, Kevin",572041,592332,double,hit_into_play,,,,,8,AJ Pollock doubles (12) on a sharp fly ball to center fielder Raimel Tapia.,R,R,R,CWS,TOR,X,8,fly_ball,2,2,2022,-0.77,1.42,-0.1,1.64,,,,1,2,Bot,182.03,59.43,,,672386,,,7.300737429,-141.805701,-9.36151241,-12.03596717,31.22519691,-11.078382,3.56,1.69,371,102.3,23,97.8,2371,6.4,661481,592332,672386,665489,669289,656305,666182,666971,606132,606192,54.11,0.651,1.012,1.25,1,1,1,6,11,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0.044,0.442
