pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,9/16/2022,81.1,-1.07,5.91,"Houser, Adrian",650402,605288,,blocked_ball,,,,,14,Gleyber Torres doubles (24) on a sharp line drive to center fielder Garrett Mitchell.   Aaron Judge to 3rd.,R,R,R,MIL,NYY,B,,,0,0,2022,0.79,-1.12,1.66,0.18,,,592450,1,1,Top,,,,,553882,,,4.602554065,-117.9874273,-3.967103662,6.300314326,25.57006622,-41.86731694,3.23,1.59,,,,81.1,1919,6.6,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.88,,,,,,,,3,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,19,0,0.042
SI,9/16/2022,92,-1.39,5.73,"Houser, Adrian",650402,605288,,called_strike,,,,,5,Gleyber Torres doubles (24) on a sharp line drive to center fielder Garrett Mitchell.   Aaron Judge to 3rd.,R,R,R,MIL,NYY,S,,,1,0,2022,-1.32,0.66,0.04,2.4,,,592450,1,1,Top,,,,,553882,,,6.543121845,-133.7196719,-4.030970968,-17.24156552,29.71078352,-23.59877053,3.28,1.6,,,,92.4,1973,6.7,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.84,,,,,,,,3,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,228,0,-0.058
SI,9/16/2022,92,-1.42,5.75,"Houser, Adrian",650402,605288,,ball,,,,,13,Gleyber Torres doubles (24) on a sharp line drive to center fielder Garrett Mitchell.   Aaron Judge to 3rd.,R,R,R,MIL,NYY,B,,,1,1,2022,-1.4,0.81,-1.34,1.73,,,592450,1,1,Top,,,,,553882,,,3.250190745,-133.7692001,-6.067798469,-17.40247781,31.7764151,-21.32577027,3.25,1.61,,,,92,1990,6.6,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.92,,,,,,,,3,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,229,0,0.073
SL,9/16/2022,86.4,-1.38,5.87,"Houser, Adrian",650402,605288,,ball,,,,,14,Gleyber Torres doubles (24) on a sharp line drive to center fielder Garrett Mitchell.   Aaron Judge to 3rd.,R,R,R,MIL,NYY,B,,,2,1,2022,0.32,0.32,1.18,1.57,,,592450,1,1,Top,,,,,553882,,,5.461266989,-125.7384205,-4.74902653,2.389382204,23.43531603,-28.00783753,3.33,1.62,,,,87,2164,6.5,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,54.01,,,,,,,,3,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,156,0,0.102
SI,9/16/2022,92.6,-1.47,5.74,"Houser, Adrian",650402,605288,double,hit_into_play,,,,,5,Gleyber Torres doubles (24) on a sharp line drive to center fielder Garrett Mitchell.   Aaron Judge to 3rd.,R,R,R,MIL,NYY,X,8,line_drive,3,1,2022,-1.35,0.68,-0.17,2.2,,,592450,1,1,Top,104.51,74.36,,,553882,,,6.291754002,-134.6094666,-4.717600864,-17.81255516,30.76950188,-23.0226884,3.27,1.53,302,111.3,15,92.8,2023,6.6,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.9,0.714,0.804,1.25,1,1,1,6,3,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,232,-0.083,0.747
SI,9/16/2022,92.1,-1.42,5.74,"Houser, Adrian",518626,605288,,swinging_strike,,,,,13,Josh Donaldson out on a sacrifice fly to left fielder Christian Yelich.   Aaron Judge scores.    Gleyber Torres to 3rd.,R,R,R,MIL,NYY,S,,,0,0,2022,-1.57,0.71,-0.87,1.9,592450,650402,,1,1,Top,,,,,553882,,,4.841981357,-133.9307194,-5.443610976,-19.92814663,30.62783018,-22.67885357,3.27,1.58,,,,92.5,2019,6.7,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.81,,,,,,,,4,1,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,229,0,-0.107
SI,9/16/2022,92.8,-1.49,5.7,"Houser, Adrian",518626,605288,,ball,,,,,13,Josh Donaldson out on a sacrifice fly to left fielder Christian Yelich.   Aaron Judge scores.    Gleyber Torres to 3rd.,R,R,R,MIL,NYY,B,,,0,1,2022,-1.57,0.52,-1.74,1.44,592450,650402,,1,1,Top,,,,,553882,,,2.825346079,-134.9667283,-6.252437726,-19.70578541,32.45849213,-24.53916237,3.18,1.59,,,,93.1,1999,6.7,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.78,,,,,,,,4,2,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,235,0,0.069
CU,9/16/2022,81,-1.31,5.81,"Houser, Adrian",518626,605288,,called_strike,,,,,8,Josh Donaldson out on a sacrifice fly to left fielder Christian Yelich.   Aaron Judge scores.    Gleyber Torres to 3rd.,R,R,R,MIL,NYY,S,,,1,1,2022,0.82,-1.27,0.14,1.95,592450,650402,,1,1,Top,,,,,553882,,,1.69738461,-117.9382544,0.504821242,7.20199095,24.54746175,-44.28640831,3.24,1.71,,,,81,2051,6.4,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,54.06,,,,,,,,4,3,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,30,0,-0.224
SI,9/16/2022,93.1,-1.43,5.76,"Houser, Adrian",518626,605288,sac_fly,hit_into_play,,,,,13,Josh Donaldson out on a sacrifice fly to left fielder Christian Yelich.   Aaron Judge scores.    Gleyber Torres to 3rd.,R,R,R,MIL,NYY,X,7,fly_ball,1,2,2022,-1.56,0.71,-0.32,1.24,592450,650402,,1,1,Top,83.74,56.96,,,553882,,,6.29699543,-135.314138,-7.39153863,-20.5421928,29.84311295,-22.02152187,3.27,1.58,365,99.6,37,93.3,2106,6.5,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.98,0.269,0.548,0,1,0,0,5,4,4,Sinker,0,0,0,0,1,0,1,0,Strategic,Standard,231,-0.005,-0.138
FF,9/16/2022,93.6,-1.21,5.94,"Houser, Adrian",665828,605288,,ball,,,,,12,Oswaldo Cabrera walks.,R,L,R,MIL,NYY,B,,,0,0,2022,-0.94,1.16,0.97,2.62,650402,,,2,1,Top,,,,,553882,,,7.740791903,-136.0315283,-5.416999844,-13.30828105,29.53924753,-16.70211363,3.21,1.51,,,,94,2192,6.6,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.91,,,,,,,,5,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,227,0,0.031
