pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,4/20/2022,92.3,-1.83,6.51,"Mikolas, Miles",665862,571945,,ball,,,,,12,Jazz Chisholm Jr.  strikes out swinging.,R,L,R,MIA,STL,B,,,1,2,2022,-0.96,1.32,1.41,3.12,,,500743,1,5,Bot,,,,,425877,,,10.32014847,-133.9701653,-5.637026168,-13.87738305,30.50151311,-15.1725542,3.44,1.72,,,,91.9,2044,6.3,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.19,,,,,,,,37,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216,0,0.057
SL,4/20/2022,90.9,-2.13,6.19,"Alcantara, Sandy",641933,645261,,blocked_ball,,,,,14,Tyler O'Neill flies out to right fielder Avisail Garcia.   Tommy Edman to 3rd.,R,R,R,MIA,STL,B,,,1,2,2022,-0.21,0.34,1.39,0.75,,669242,502671,0,1,Top,,,,,607732,,,9.219376582,-131.8773566,-8.378417602,-4.39499281,28.1497693,-26.5332988,3.19,1.53,,,,90.3,2396,6.1,661404,645261,607732,542583,665862,621563,500743,624585,660821,541645,54.4,,,,,,,,3,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,230,0,0.089
SL,4/20/2022,89.5,-2.19,6.07,"Alcantara, Sandy",664056,645261,,ball,,,,,14,Harrison Bader singles on a ground ball to left fielder Jorge Soler.,R,R,R,MIA,STL,B,,,0,1,2022,0.14,0.25,1.34,1.31,,,,2,5,Top,,,,,607732,,,8.372146195,-129.9492114,-6.193845643,-0.186880038,27.59494948,-28.20188152,2.93,1.34,,,,89,2421,6.1,661404,645261,607732,542583,665862,621563,500743,624585,660821,541645,54.37,,,,,,,,33,2,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,160,0,0.011
SL,4/20/2022,87.9,-1.85,6.56,"Mikolas, Miles",624585,571945,,ball,,,,,12,Jorge Soler called out on strikes.,R,R,R,MIA,STL,B,,,0,2,2022,0.31,0.44,1.27,2.81,,,665862,2,3,Bot,,,,,425877,,,6.933547287,-127.9897507,-3.947053011,2.148562903,24.16448968,-26.77907955,3.57,1.78,,,,88.3,2344,6.3,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.17,,,,,,,,22,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,166,0.017,0.023
CH,4/20/2022,91.6,1.23,6.02,"Cabrera, Génesis",643265,650893,,ball,,,,,14,Garrett Cooper walks.,R,R,L,MIA,STL,B,,,2,1,2022,1.19,0.99,1.24,2.47,,,,2,8,Bot,,,,,425877,,,-2.520006625,-133.3149446,-5.204695436,14.69442366,28.87983875,-19.47267155,3.44,1.78,,,,91.1,1856,6,661404,650893,425877,502671,669242,571448,657557,641933,664056,663457,54.49,,,,,,,,57,4,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,139,0,0.039
SL,4/20/2022,87,-1.84,6.51,"Mikolas, Miles",665862,571945,strikeout,swinging_strike,,,,,14,Jazz Chisholm Jr.  strikes out swinging.,R,L,R,MIA,STL,S,2,,3,2,2022,0.38,0.35,1.21,2.05,,,500743,1,5,Bot,,,,,425877,,,6.571044074,-126.5541933,-5.266451971,2.741018866,26.19843984,-27.47631245,3.57,1.67,,,,87.4,2269,6.6,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,53.91,,,0,1,0,0,,37,7,Slider,0,0,0,0,0,0,0,0,Standard,Standard,187,-0.038,-0.355
SL,4/20/2022,85.9,-1.73,6.66,"Gallegos, Giovanny",542583,606149,strikeout,swinging_strike,,,,,14,Jesus Aguilar strikes out swinging.,R,R,R,MIA,STL,S,2,,0,2,2022,0.06,0.11,1.19,1.32,,,,0,9,Bot,,,,,425877,,,6.726911295,-124.7875872,-6.458980778,-0.902100079,27.91189991,-29.75656588,3.66,1.73,,,,84.6,2454,5.8,661404,606149,425877,502671,669242,571448,657557,641933,664056,663457,54.7,,,0,1,0,0,,64,4,Slider,0,2,0,2,2,0,0,2,Strategic,Standard,341,-0.044,-0.141
CU,4/20/2022,77.1,-1.95,6.53,"Mikolas, Miles",660821,571945,,ball,,,,,14,Jesus Sanchez hit by pitch.,R,L,R,MIA,STL,B,,,0,0,2022,0.92,-1.36,1.18,1.31,,,,1,4,Bot,,,,,425877,,,4.972305668,-112.0710507,-1.496495465,6.52331978,24.23169726,-43.43677931,3.16,1.44,,,,76.3,2671,6.2,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.27,,,,,,,,27,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,26,0,0.023
FF,4/20/2022,95.7,-2.04,5.72,"Pallante, Andre",621563,669467,,ball,,,,,12,"Joey Wendle grounds out sharply, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",R,L,R,MIA,STL,B,,,1,2,2022,0,0.61,1.18,2.9,,,,0,7,Bot,,,,,425877,,,8.50861851,-139.13942,-3.204644624,-1.940524087,31.57042034,-23.67511603,3.18,1.52,,,,95.9,2185,6.5,661404,669467,425877,502671,669242,571448,657557,641933,664056,663457,54.01,,,,,,,,49,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,190,0,0.037
CU,4/20/2022,77.6,-1.57,5.7,"Pallante, Andre",607732,669467,,ball,,,,,14,Jacob Stallings called out on strikes.,R,R,R,MIA,STL,B,,,0,2,2022,0.51,-1.86,1.17,-0.12,,,,1,7,Bot,,,,,425877,,,4.985030945,-112.8251542,-1.913970526,3.11211763,26.11036946,-47.5876657,3.12,1.46,,,,77.6,2832,7,661404,669467,425877,502671,669242,571448,657557,641933,664056,663457,53.51,,,,,,,,50,3,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,17,0,0.011
